rel.group,rel.area,rel.year,rel.season,program,rel.length,rec.fishery,rec.year,rec.season,rec.number
6,5,1992,4,RTTP,26,12,1993,2,1
6,5,1992,4,RTTP,28,12,1992,4,19
6,5,1992,4,RTTP,28,12,1993,1,2
6,5,1992,4,RTTP,30,10,1992,4,2
6,5,1992,4,RTTP,30,12,1992,4,31
6,5,1992,4,RTTP,30,12,1993,1,1
6,5,1992,4,RTTP,32,10,1992,4,3
6,5,1992,4,RTTP,32,10,1993,1,1
6,5,1992,4,RTTP,32,12,1992,4,44
6,5,1992,4,RTTP,32,12,1993,1,5
6,5,1992,4,RTTP,32,12,1993,2,1
6,5,1992,4,RTTP,34,10,1992,4,1
